Glass Name,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
P-PK67,90199998464.000000,,36139999232.000000,0.000006,,0.790000,Poissons Ratio: 0.248000; Density: 4236.000000; Specific Heat: 530.000000
P-PK53,59370000384.000000,,23360000000.000000,0.000013,,0.640000,Poissons Ratio: 0.271000; Density: 2827.000000; Specific Heat: 770.000000
P-LASF47,119560003584.000000,,46060000.000000,0.000006,,0.850000,Poissons Ratio: 0.298000; Density: 4538.000000; Specific Heat: 550.000000
N-ZK7,70000001024.000000,,28829999104.000000,0.000005,,1.042000,Poissons Ratio: 0.214000; Density: 2490.000000; Specific Heat: 770.000000
N-SSK8,83999997952.000000,,33570000896.000000,0.000007,,0.840000,Poissons Ratio: 0.251000; Density: 3268.000000; Specific Heat: 640.000000
N-SSK5,87999995904.000000,,34430001152.000000,0.000007,,0.810000,Poissons Ratio: 0.278000; Density: 3710.000000; Specific Heat: 580.000000
N-SSK2,82000003072.000000,,32509999104.000000,0.000006,,0.810000,Poissons Ratio: 0.261000; Density: 3525.000000; Specific Heat: 580.000000
N-SK5,8.399999795E+10,0.256,3.344E+10,5e-06,3300,0.99,Specific Heat: 560
N-SK4,83999997952.000000,,33309999104.000000,0.000006,,0.830000,Poissons Ratio: 0.261000; Density: 3535.000000; Specific Heat: 570.000000
N-SK2,7.799999693E+010,0.263,3.088E+010,0.000006000000000,3550,0.776,Specific Heat: 595
N-SK16,89000001536.000000,,35209998336.000000,0.000006,,0.818000,Poissons Ratio: 0.264000; Density: 3580.000000; Specific Heat: 578.000000
N-SK15,83999997952.000000,,33199998976.000000,0.000007,,0.770000,Poissons Ratio: 0.265000; Density: 3620.000000; Specific Heat: 570.000000
N-SK14,86000001024.000000,,34100000768.000000,0.000006,,0.851000,Poissons Ratio: 0.261000; Density: 3440.000000; Specific Heat: 636.000000
N-SK11,79000002560.000000,,31879999488.000000,0.000006,,1.030000,Poissons Ratio: 0.239000; Density: 3080.000000; Specific Heat: 770.000000
N-SF8,87999995904.000000,,35340001280.000000,0.000009,,1.030000,Poissons Ratio: 0.245000; Density: 2904.000000; Specific Heat: 770.000000
N-SF6HT,92999999488.000000,,36849999872.000000,0.000009,,0.960000,Poissons Ratio: 0.262000; Density: 3369.000000; Specific Heat: 690.000000
N-SF66,94900002816.000000,,37689999360.000000,0.000006,,0.800000,Poissons Ratio: 0.259000; Density: 3996.000000; Specific Heat: 540.000000
N-SF64,87999995904.000000,,35340001280.000000,0.000008,,0.980000,Poissons Ratio: 0.245000; Density: 2989.000000; Specific Heat: 750.000000
N-SF6,92999999488.000000,,36849999872.000000,0.000010,,0.960000,Poissons Ratio: 0.262000; Density: 3369.000000; Specific Heat: 690.000000
N-SF57HT,96000000000.000000,,38100000768.000000,0.000008,,0.990000,Poissons Ratio: 0.260000; Density: 3533.000000; Specific Heat: 660.000000
N-SF57,96000000000.000000,,38100000768.000000,0.000008,,0.990000,Poissons Ratio: 0.260000; Density: 3533.000000; Specific Heat: 660.000000
N-SF56,90999996416.000000,,36250001408.000000,0.000009,,0.940000,Poissons Ratio: 0.255000; Density: 3280.000000; Specific Heat: 700.000000
N-SF5,,,,,2858,,Elastic Modulus in X: 8.699999846E+010; Poisson's Ration in XY: 0.237; Shear Modulus in XY: 3.51700009E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1; Specific Heat: 770
N-SF4,89999998976.000000,,35830001664.000000,0.000009,,0.950000,Poissons Ratio: 0.256000; Density: 3145.000000; Specific Heat: 760.000000
N-SF15,89999998976.000000,,36200001536.000000,0.000008,,1.040000,Poissons Ratio: 0.243000; Density: 2921.000000; Specific Heat: 760.000000
N-SF14,88300003328.000000,,35070001152.000000,0.000009,,1.000000,Poissons Ratio: 0.259000; Density: 3118.000000; Specific Heat: 750.000000
N-SF11,92000002048.000000,,36600000512.000000,0.000009,,0.950000,Poissons Ratio: 0.257000; Density: 3224.000000; Specific Heat: 710.000000
N-SF10,86999998464.000000,,34739998720.000000,0.000009,,0.960000,Poissons Ratio: 0.252000; Density: 3050.000000; Specific Heat: 740.000000
N-SF1,89999998976.000000,,35999997952.000000,0.000009,,1.000000,Poissons Ratio: 0.250000; Density: 3025.000000; Specific Heat: 750.000000
N-PSK53A,76130000896.000000,,26549999616.000000,0.000009,,0.640000,Poissons Ratio: 0.288000; Density: 3568.000000; Specific Heat: 590.000000
N-PSK53,77999996928.000000,,30279999488.000000,0.000009,,0.990000,Poissons Ratio: 0.288000; Density: 3600.000000; Specific Heat: 682.000000
N-PSK3,83999997952.000000,,34260000768.000000,0.000006,,0.990000,Poissons Ratio: 0.226000; Density: 2910.000000; Specific Heat: 682.000000
N-PK52A,70999998464.000000,,27349999616.000000,0.000013,,0.730000,Poissons Ratio: 0.298000; Density: 3747.000000; Specific Heat: 670.000000
N-PK51,73999998976.000000,,28569999360.000000,0.000012,,0.650000,Poissons Ratio: 0.295000; Density: 3855.000000; Specific Heat: 620.000000
N-LASF9,108589998080.000000,,42149998592.000000,0.000008,,0.790000,Poissons Ratio: 0.288000; Density: 4410.000000; Specific Heat: 530.000000
N-LASF45,115999997952.000000,,45279997952.000000,0.000009,,1.020000,Poissons Ratio: 0.281000; Density: 3626.000000; Specific Heat: 660.000000
N-LASF44,124000002048.000000,,47950000.000000,0.000006,,0.820000,Poissons Ratio: 0.293000; Density: 4440.000000; Specific Heat: 530.000000
N-LASF43,114000003072.000000,,44189999104.000000,0.000007,,0.810000,Poissons Ratio: 0.290000; Density: 4260.000000; Specific Heat: 550.000000
N-LASF41,124000002048.000000,,47909998592.000000,0.000007,,0.790000,Poissons Ratio: 0.294000; Density: 4845.000000; Specific Heat: 490.000000
N-LASF40,111000002560.000000,,42560000000.000000,0.000007,,0.810000,Poissons Ratio: 0.304000; Density: 4430.000000; Specific Heat: 550.000000
N-LASF31A,125510000640.000000,,48240001024.000000,0.000008,,0.790000,Poissons Ratio: 0.301000; Density: 5510.000000; Specific Heat: 440.000000
N-LAK9,109999996928.000000,,42800001024.000000,0.000006,,0.908000,Poissons Ratio: 0.285000; Density: 3510.000000; Specific Heat: 649.000000
N-LAK8,115000000512.000000,,44609998848.000000,0.000006,,0.840000,Poissons Ratio: 0.289000; Density: 3749.000000; Specific Heat: 620.000000
N-LAK7,8.999999898E+10,0.277,3.524000154E+10,7e-06,3840,0.74,Specific Heat: 530
N-LAK34,117000003584.000000,,45349998592.000000,0.000007,,0.820000,Poissons Ratio: 0.290000; Density: 4020.000000; Specific Heat: 520.000000
N-LAK33A,121000001536.000000,,46829998080.000000,0.000007,,0.810000,Poissons Ratio: 0.292000; Density: 4216.000000; Specific Heat: 550.000000
N-LAK22,89999998976.000000,,35549999104.000000,0.000007,,0.880000,Poissons Ratio: 0.266000; Density: 3768.000000; Specific Heat: 550.000000
N-LAK21,90999996416.000000,,35769999360.000000,0.000008,,0.880000,Poissons Ratio: 0.272000; Density: 3740.000000; Specific Heat: 590.000000
N-LAK14,111000002560.000000,,33770000384.000000,0.000009,,0.860000,Poissons Ratio: 0.283000; Density: 3630.000000; Specific Heat: 640.000000
N-LAK12,86999998464.000000,,33770000384.000000,0.000009,,0.860000,Poissons Ratio: 0.288000; Density: 4100.000000; Specific Heat: 640.000000
N-LAK10,115999997952.000000,,45099999232.000000,0.000007,,0.860000,Poissons Ratio: 0.286000; Density: 3689.000000; Specific Heat: 640.000000
N-LAF7,96000000000.000000,,37769998336.000000,0.000008,,0.830000,Poissons Ratio: 0.271000; Density: 3730.000000; Specific Heat: 620.000000
N-LAF36,109999996928.000000,,42149998592.000000,0.000007,,0.790000,Poissons Ratio: 0.305000; Density: 4431.000000; Specific Heat: 540.000000
N-LAF35,108999999488.000000,,41890000896.000000,0.000006,,0.800000,Poissons Ratio: 0.301000; Density: 4115.000000; Specific Heat: 570.000000
N-LAF34,122999996416.000000,,47600001024.000000,0.000007,,0.560000,Poissons Ratio: 0.292000; Density: 4240.000000; Specific Heat: 800.000000
N-LAF33,111000002560.000000,,42659999744.000000,0.000007,,0.800000,Poissons Ratio: 0.301000; Density: 4360.000000; Specific Heat: 570.000000
N-LAF3,95000002560.000000,,36940001280.000000,0.000009,,0.830000,Poissons Ratio: 0.286000; Density: 4140.000000; Specific Heat: 550.000000
N-LAF21,124000002048.000000,,47879999488.000000,0.000007,,0.830000,Poissons Ratio: 0.295000; Density: 4281.000000; Specific Heat: 550.000000
N-LAF2,93999996928.000000,,36489998336.000000,0.000009,,0.670000,Poissons Ratio: 0.288000; Density: 4295.000000; Specific Heat: 510.000000
N-KZFS8,102719995904.000000,,41150001152.000000,0.000009,,1.050000,Poissons Ratio: 0.248000; Density: 3204.000000; Specific Heat: 760.000000
N-KZFS4,7.799999693E+10,0.241,3.143000064E+10,0.000007300000000,3000,0.84,Specific Heat: 760; Tensile Strength: 7000000; Yield Strength: 7000000
N-KZFS2,65999998976.000000,,26069999616.000000,0.000005,,0.810000,Poissons Ratio: 0.266000; Density: 2552.000000; Specific Heat: 830.000000
N-KZFS11,79000002560.000000,,31569999872.000000,0.000008,,0.810000,Poissons Ratio: 0.251000; Density: 3196.000000; Specific Heat: 690.000000
N-KF9,65999998976.000000,,26940000256.000000,0.000011,,1.040000,Poissons Ratio: 0.225000; Density: 2499.000000; Specific Heat: 860.000000
N-K5,7.099999846E+010,0.224,2.899999949E+010,0.000008200000000,2590,0.95,Specific Heat: 783
N-FK51A,80999997440.000000,,31320000512.000000,0.000015,,0.760000,Poissons Ratio: 0.293000; Density: 3675.000000; Specific Heat: 690.000000
N-FK5,62000001024.000000,,25159999488.000000,0.000010,,0.925000,Poissons Ratio: 0.232000; Density: 2450.000000; Specific Heat: 808.000000
N-F2,82000003072.000000,,33390000128.000000,0.000009,,1.050000,Poissons Ratio: 0.228000; Density: 2651.000000; Specific Heat: 810.000000
N-BK7,8.2E+10,0.206,3.4E+10,8e-06,2510,1.114,Specific Heat: 858
N-BK10,70999998464.000000,,29510000640.000000,0.000007,,1.320000,Poissons Ratio: 0.203000; Density: 2390.000000; Specific Heat: 810.000000
N-BASF64,105000001536.000000,,41529999360.000000,0.000009,,0.940000,Poissons Ratio: 0.264000; Density: 3200.000000; Specific Heat: 660.000000
N-BASF2,83999997952.000000,,33679998976.000000,0.000008,,0.940000,Poissons Ratio: 0.247000; Density: 3151.000000; Specific Heat: 660.000000
N-BALF5,80999997440.000000,,33359998976.000000,0.000008,,1.050000,Poissons Ratio: 0.214000; Density: 2614.000000; Specific Heat: 810.000000
N-BALF4,76999999488.000000,,30919999488.000000,0.000007,,0.850000,Poissons Ratio: 0.245000; Density: 3111.000000; Specific Heat: 690.000000
N-BAK4,7.699999949E+010,0.24,3.105000038E+010,0.000007000000000,3046,0.88,Specific Heat: 680
N-BAK2,70999998464.000000,,28789999616.000000,0.000009,,0.920000,Poissons Ratio: 0.233000; Density: 2860.000000; Specific Heat: 690.000000
N-BAK1,73000001536.000000,,29149999104.000000,0.000009,,0.795000,Poissons Ratio: 0.252000; Density: 3190.000000; Specific Heat: 687.000000
N-BAF52,86000001024.000000,,34759999488.000000,0.000008,,0.960000,Poissons Ratio: 0.237000; Density: 3045.000000; Specific Heat: 680.000000
N-BAF51,90999996416.000000,,36050000.000000,0.000009,,0.670000,Poissons Ratio: 0.262000; Density: 3333.000000; Specific Heat: 840.000000
N-BAF4,85000003584.000000,,34520000.000000,0.000008,,1.020000,Poissons Ratio: 0.231000; Density: 2889.000000; Specific Heat: 740.000000
N-BAF3,82000003072.000000,,33440000000.000000,0.000008,,1.040000,Poissons Ratio: 0.226000; Density: 2792.000000; Specific Heat: 760.000000
N-BAF10,89000001536.000000,,35009998848.000000,0.000007,,0.780000,Poissons Ratio: 0.271000; Density: 3745.000000; Specific Heat: 560.000000
LLF1,5.999999795E+010,0.208,2.48299991E+010,0.000008100000000,2940,0.866,Specific Heat: 650
LF5,59000000512.000000,,24120000512.000000,0.000009,,0.866000,Poissons Ratio: 0.223000; Density: 3220.000000; Specific Heat: 657.000000
LAFN7,80000000000.000000,,31249999872.000000,0.000005,,0.770000,Poissons Ratio: 0.280000; Density: 4380.000000; Specific Heat: 636.000000
KZFSN5,65000001536.000000,,25489999872.000000,0.000006,,0.766000,Poissons Ratio: 0.275000; Density: 3460.000000; Specific Heat: 636.000000
KZFSN4,59999997952.000000,,23530000384.000000,0.000005,,0.766000,Poissons Ratio: 0.275000; Density: 3200.000000; Specific Heat: 636.000000
KZFS12,65999998976.000000,,25799999488.000000,0.000005,,0.710000,Poissons Ratio: 0.279000; Density: 3836.000000; Specific Heat: 540.000000
K7,69000003584.000000,,28419999744.000000,0.000010,,1.120000,Poissons Ratio: 0.214000; Density: 2530.000000; Specific Heat: 770.000000
K10,65000001536.000000,,27310000128.000000,0.000007,,1.120000,Poissons Ratio: 0.190000; Density: 2520.000000; Specific Heat: 770.000000
F5,57999998976.000000,,23769999360.000000,0.000009,,0.768000,Poissons Ratio: 0.220000; Density: 3470.000000; Specific Heat: 553.000000
F4,56000000000.000000,,22909999104.000000,0.000009,,0.768000,Poissons Ratio: 0.222000; Density: 3580.000000; Specific Heat: 553.000000
SF57HT,,,,,5510,,Elastic Modulus in X: 5.400000102E+010; Poisson's Ration in XY: 0.248; Shear Modulus in XY: 2.16299991E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.62; Specific Heat: 360
F2,57000001536.000000,,23360000000.000000,0.000009,,0.780000,Poissons Ratio: 0.220000; Density: 3599.000000; Specific Heat: 557.000000
BK7-G18,,,,,2510,,Elastic Modulus in X: 8.2E+010; Poisson's Ration in XY: 0.206; Shear Modulus in XY: 3.4E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.114; Specific Heat: 858
P-SF67,,0,,6.2e-06,4240,,Specific Heat: 530
N-SF2,8.6E+10,0.231,3.5E+10,0.000006700000000,2720,1.14,Specific Heat: 790
B270,7.15E+010,0.219,2.93E+010,0.000009400000000,2550,,
N-KZFS5,2000000000,0.243,,6.4e-006,3041,0.95,Specific Heat: 730
Titanium Grade 12,102731903363.667450,,41023813759.316872,0.000005,,24.900000,Poissons Ratio: 0.330000; Density: 4511.825740; Specific Heat: 460.000000; Tensile Strength: 619838799.489510; Yield Strength: 479875199.604782
T.B.D,399895999670.651860,,155821544699.254000,0.000044,,163.300000,Poissons Ratio: 0.280000; Density: 19292.899025; Specific Heat: 134.000000; Tensile Strength: 979055723.331596; Yield Strength: 751528689.036225
CDA BRASS ALLOY 360,99999997952.000000,,36999999488.000000,0.000018,,110.000000,Poissons Ratio: 0.330000; Density: 8500.000000; Specific Heat: 390.000000; Tensile Strength: 478412992.000000; Yield Strength: 239688992.000000
CDA COPPER ALLOY 145,,,,,8900,,Elastic Modulus in X: 1.099999969E+011; Poisson's Ration in XY: 0.37; Shear Modulus in XY: 4E+010; Thermal Expansion Coefficient in X: 2.4e-005; Thermal Conductivity in X: 390; Specific Heat: 390; Tensile Strength in X: 394380000; Yield Strength: 258646000
TUNGSTEN,399895999670.651860,,155821544699.254000,0.000044,,163.300000,Poissons Ratio: 0.280000; Density: 19292.899025; Specific Heat: 134.000000; Tensile Strength: 979055723.331596; Yield Strength: 751528689.036225
TITANIUM GRADE 5 (Ti-6Al-4V),1.137634954E+011,0.33,4.398855155E+010,0.000008600000000,4428.786003,6.7,Specific Heat: 526.3; Tensile Strength: 903213205.8; Compressive Strength: 861844662; Yield Strength: 827370875.5
AlBeMet,,,,,2071.011055,,Elastic Modulus in X: 1.930532043E+011; Poisson's Ration in XY: 0.17; Shear Modulus in XY: 8.204761183E+010; Thermal Expansion Coefficient in X: 13.91; Thermal Conductivity in X: 210; Specific Heat: 1560; Tensile Strength in X: 446780272.8; Yield Strength: 321985165.7
COPPER ALLOY UNS C10100,,,,,8900,,Elastic Modulus in X: 1.099999969E+011; Poisson's Ration in XY: 0.37; Shear Modulus in XY: 4E+010; Thermal Expansion Coefficient in X: 0.000017000000000; Thermal Conductivity in X: 390; Specific Heat: 390; Tensile Strength in X: 394380000; Yield Strength: 258646000
"COPPER ALLOY, OXYGEN-FREE, UNS C10200, H04 TEMPER",1.15E+011,0.31,4.4E+010,0.000017000000000,8940,391,Specific Heat: 385; Tensile Strength: 310000000; Yield Strength: 275000000
CARPENTER KOVAR ALLOY,138000000,0.317,51700000,5.86,8360,17.3,Specific Heat: 439; Tensile Strength: 517000000; Yield Strength: 345000000
LEAD,1.399635731E+010,0.42,4902172438,2.916e-005,11348.76413,33,Specific Heat: 128.7; Tensile Strength: 17995316.54
AIR,62300000256.000000,,25489999872.000000,0.000009,,1.007000,Poissons Ratio: 0.227000; Density: 1.287116; Specific Heat: 595.000000
NOTHING,,,,,0.000000000100000,,
1145-H18 ALUMINUM,6.9E+010,0.33,2.6E+010,2.36e-005,2700,227,Specific Heat: 904; Tensile Strength: 145000000; Yield Strength: 115000000
2011 ALUMINUM,7E+010,0.33,2.6E+010,0.000023100000000,2820,152,Specific Heat: 864; Tensile Strength: 275000000; Yield Strength: 125000000
2011-T3 ALUMINUM,7.03E+010,0.33,2.6E+010,0.000022900000000,2830,151,Specific Heat: 880; Tensile Strength: 379000000; Yield Strength: 296000000
2024-T351 ALUMINUM,,,,,2767.991252,,Elastic Modulus in X: 7.308444132E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.799271998E+010; Thermal Expansion Coefficient in X: 2.322e-005; Thermal Conductivity in X: 121; Specific Heat: 875.0412; Tensile Strength in X: 468843585.8; Yield Strength: 324053654.9
2024-T4 ALUMINUM,,,,,2780,,Elastic Modulus in X: 7.24E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.8E+010; Thermal Expansion Coefficient in X: 2.32e-005; Thermal Conductivity in X: 120; Specific Heat: 875; Tensile Strength in X: 470000000; Yield Strength: 325000000
2024-T6 ALUMINUM,,,,,2767.991252,,Elastic Modulus in X: 7.239496546E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.702745377E+010; Thermal Expansion Coefficient in X: 2.322e-005; Thermal Conductivity in X: 151; Specific Heat: 875.0412; Tensile Strength in X: 426785558.3; Yield Strength: 344737930.8
3003 ALUMINUM,69000003584.000000,,25999998976.000000,0.000024,,170.000000,Poissons Ratio: 0.330000; Density: 2700.000000; Specific Heat: 1300.000000; Tensile Strength: 124084000.000000; Yield Strength: 55148500.000000
6061-T6 ALUMINUM,6.899998632E+10,0.33,2.599999684E+10,0.000023400000000,2700.001083,170,Specific Heat: 896; Tensile Strength: 310000000; Yield Strength: 275000000
6061-T651 ALUMINUM,6.900000358E+010,0.33,2.599999898E+010,0.000023600000000,2700,170,Specific Heat: 1300; Tensile Strength: 124084000; Yield Strength: 55148500
6061-T6511 ALUMINUM,6.899998632E+10,0.33,2.599999684E+10,2.36e-05,2700.001083,170,Specific Heat: 1300; Tensile Strength: 310000000; Yield Strength: 275000000
6063 ALUMINUM,69000003584.000000,,25999998976.000000,0.000024,,170.000000,Poissons Ratio: 0.330000; Density: 2700.000000; Specific Heat: 1300.000000; Tensile Strength: 124084000.000000; Yield Strength: 55148500.000000
7075-T6 ALUMINUM,,,,,2810,,Elastic Modulus in X: 7.17E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.599999898E+010; Thermal Expansion Coefficient in X: 2.4e-005; Thermal Conductivity in X: 170; Specific Heat: 1300; Tensile Strength in X: 524000000; Yield Strength: 462000000
7075-T73 ALUMINUM,7.2E+010,0.33,2.69E+010,0.000021600000000,2810,155,Specific Heat: 960; Tensile Strength: 505000000; Yield Strength: 435000000
ALPASE K100-S ALUMINUM,71016000.15,0.33,,2.376e-005,2657.271602,140.189535,Tensile Strength: 282685049.1; Yield Strength: 124105631.3
MIC6 ALUMINUM,71016013734.615753,,27000012631.556309,0.000013000000000,,142.000000,Poissons Ratio: 0.330000; Density: 2700.001083; Specific Heat: 900.000000; Tensile Strength: 165474206.760270; Yield Strength: 103421379.225169
7075-T7351 ALUMINUM BAR,7.1E+010,0.33,2.69E+010,2.16e-005,2800,155,Specific Heat: 960; Tensile Strength: 434000000; Compressive Strength: 7.24E+010; Yield Strength: 435000000
ALUMINUM,6.899998632E+010,0.33,,,2700.001083,,
15-5 PH STAINLESS STEEL,,,,10.8,7800,17.9,Tensile Strength: 1441004275
17-4 PH STAINLESS STEEL,1.999479931E+011,0.3,7.722129818E+010,11.9,7750.375488,24.700001,Specific Heat: 515; Tensile Strength: 999739968; Yield Strength: 710160128
17-4 PH 1150 SS,1.999479931E+011,0.3,7.722129818E+010,11.9,7750.375488,24.700001,Specific Heat: 515; Tensile Strength: 999739968; Yield Strength: 710160128
17-7 PH STAINLESS STEEL,199947993088.000000,,77221298176.000000,0.000006,,24.700001,Poissons Ratio: 0.300000; Density: 7750.375488; Specific Heat: 515.000000; Tensile Strength: 999739968.000000; Yield Strength: 710160128.000000
18-8 STAINLESS STEEL,199947993088.000000,,77221298176.000000,0.000006,,24.700001,Poissons Ratio: 0.300000; Density: 7750.375488; Specific Heat: 515.000000; Tensile Strength: 999739968.000000; Yield Strength: 710160128.000000
300 SERIES STAINLESS STEEL,,,,,8000,,Elastic Modulus in X: 2000000000; Poisson's Ration in XY: 0.394; Shear Modulus in XY: 318900000; Thermal Conductivity in X: 0.2256; Specific Heat: 1386; Tensile Strength in X: 30000000
302 STAINLESS STEEL,,,,,7999.494629,,Elastic Modulus in X: 7.101601382E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 7.722129818E+010; Thermal Expansion Coefficient in X: 9.6e-005; Thermal Conductivity in X: 142; Specific Heat: 900; Tensile Strength in X: 619838784; Yield Strength: 239937600; 300 SERIES STAINLESS STEEL:
303 STAINLESS STEEL,71016013824.000000,,77221296488.125870,0.000096,,142.000000,Poissons Ratio: 0.330000; Density: 7999.494718; Specific Heat: 900.000000; Tensile Strength: 619838799.489510; Yield Strength: 239937599.802391
304 STAINLESS STEEL,71016013824.000000,,77221298176.000000,0.000096,,142.000000,Poissons Ratio: 0.330000; Density: 7999.494629; Specific Heat: 900.000000; Tensile Strength: 619838784.000000; Yield Strength: 239937600.000000
304N STAINLESS STEEL,,,,,8000,,Elastic Modulus in X: 1.93E+011; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 318900000; Thermal Expansion Coefficient in X: 18.9; Thermal Conductivity in X: 0.2256; Specific Heat: 500; Tensile Strength in X: 620000000; Yield Strength: 330000000
316 STAINLESS STEEL,,,,,8000,,Elastic Modulus in X: 1.93E+011; Poisson's Ration in XY: 0.285; Shear Modulus in XY: 7.7E+010; Thermal Expansion Coefficient in X: 1.6e-005; Thermal Conductivity in X: 16.3; Specific Heat: 500; Tensile Strength in X: 580000000; Yield Strength: 250000000
400 SERIES S.S,71016013824.000000,,77221298176.000000,0.000096,,142.000000,Poissons Ratio: 0.330000; Density: 7999.494629; Specific Heat: 900.000000; Tensile Strength: 619838784.000000; Yield Strength: 239937600.000000
410 STAINLESS STEEL,,,,,7805.73533,,Elastic Modulus in X: 1.999479998E+011; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 7.722129649E+010; Thermal Expansion Coefficient in X: 9.9e-006; Thermal Conductivity in X: 24.9; Specific Heat: 460; Tensile Strength in X: 1525120606; Yield Strength: 1225198606
416 STAINLESS STEEL,,,,,7800,,Elastic Modulus in X: 2E+011; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 8.3E+010; Thermal Expansion Coefficient in X: 9.9e-006; Thermal Conductivity in X: 24.9; Specific Heat: 460; Tensile Strength in X: 515000000; Yield Strength: 275000000
430 SERIES STAINLESS STEEL,1.999999481E+011,0.28,6.499997967E+010,0.000010500000000,7800,27,Specific Heat: 490; Tensile Strength: 475000514.4; Compressive Strength: 289993491.9; Yield Strength: 274997394.8
440 STAINLESS STEEL,71016013824.000000,,77221298176.000000,0.000096,,142.000000,Poissons Ratio: 0.330000; Density: 7999.494629; Specific Heat: 900.000000; Tensile Strength: 619838784.000000; Yield Strength: 239937600.000000
440C STAINLESS STEEL,2.04084816E+011,0.283,8.411603901E+010,0.000010200000000,7805.73533,24.2,Specific Heat: 460; Tensile Strength: 758423302.6; Yield Strength: 450227651.4
455 STAINLESS STEEL,199947999835.325930,,77221296488.125870,0.000006,,24.700000,Poissons Ratio: 0.300000; Density: 7750.375505; Specific Heat: 515.000000; Tensile Strength: 999739999.176630; Yield Strength: 710160137.346158
"AISI 1018 STEEL, COLD DRAWN",,,,,7861.095155,,Elastic Modulus in X: 2.047742917E+011; Poisson's Ration in XY: 0.29; Shear Modulus in XY: 7.997918464E+010; Thermal Conductivity in X: 51.9; Specific Heat: 485.669; Tensile Strength in X: 439885515.5; Yield Strength: 370248466.8
AISI 4150 STEEL,199947993088.000000,,77221298176.000000,0.000006,,24.700001,Poissons Ratio: 0.300000; Density: 7750.375488; Specific Heat: 515.000000; Tensile Strength: 999739968.000000; Yield Strength: 710160128.000000
INVAR-36,1.475478344E+011,0.29,7.722129818E+010,0.000001300000000,8049.318359,11.1,Specific Heat: 515; Tensile Strength: 448000736; Yield Strength: 275997184
SUPER INVAR 32-5,1.45E+011,0.29,,8.4e-007,8137.89,10,Specific Heat: 502.416; Tensile Strength: 482633010.7; Yield Strength: 275790291.8
CARBON STEEL,0.21E+12,0.28,0.79E+11,0.13E-4,,43.,Density: 0.78E+04; Specific Heat: 0.44E+03; Tensile Strength: 3.99826E+8; Yield Strength: 2.20594E+8; Financial Impact: 0.614 USD/kg
ASTM A36 STEEL,1.999479616E+11,0.26,7.928970891E+10,1.5e-05,7861.095155,47,Specific Heat: 420; Tensile Strength: 420507000; Yield Strength: 250279689.9
BOROSILICATE,62750000000.000000,,28085999616.000000,0.000003,,1.200000,Poissons Ratio: 0.200000; Density: 2180.000000; Specific Heat: 821.000000
CAF2,6.5E+10,0.261,2.549E+10,9e-06,3180,1.011,Specific Heat: 595; NDNOM: 12345 SOMETHINGS
CORNING 7056,6400000000.000000,,2700000000.000000,0.000005,,0.895000,Poissons Ratio: 0.210000; Density: 2290.000000; Specific Heat: 830.000000
FUSED SILICA,9.099999642E+010,0.24,2.808599962E+010,5.1e-007,2200,1.64,Specific Heat: 821; Yield Strength: 48000000
NG-1,,,,,,,Elastic modulus: 0.20E+10; Poissons ratio: 0.394; Shear modulus: 0.3189E+09; Density: 0.102E+04; Thermal conductivity: 0.2256; Specific heat: 0.1386E+04; Tensile strength: 0.30E+08
PYREX,90999996416.000000,,28085999616.000000,0.000007,,1.640000,Poissons Ratio: 0.278000; Density: 3710.000000; Specific Heat: 574.000000
SAPPHIRE,9.099999642E+010,0.24,2.808599962E+010,0.000007000000000,2200,1.64,Specific Heat: 821
SILICON,65000001536.000000,,25489999872.000000,0.000009,,1.011000,Poissons Ratio: 0.261000; Density: 3370.000000; Specific Heat: 595.000000
UG-1,90999996416.000000,,28085999616.000000,0.000007,,1.114000,Poissons Ratio: 0.206000; Density: 2770.000000; Specific Heat: 858.000000
ULE,6770000000.000000,,26200000000.000000,0.000000,,1.310000,Poissons Ratio: 0.176000; Density: 22000.000000; Specific Heat: 766.000000
ZERODUR,9.0321338E+010,0.243,8.2047631E+010,0,2530,1.46,Specific Heat: 820; Tensile Strength: 564680700; Yield Strength: 250279740
ZIRCONIA,200000000000.000000,,90407002112.000000,0.000012,,1.675000,Poissons Ratio: 0.220000; Density: 5680.001088; Specific Heat: 877.960022; Tensile Strength: 172340000.000000; Compressive Strength: 551489984.000000
BOROFLOAT,,,,,2180,,Elastic Modulus in X: 6.275E+010; Poisson's Ration in XY: 0.2; Shear Modulus in XY: 2.808599962E+010; Thermal Expansion Coefficient in X: 3e-006; Thermal Conductivity in X: 1.2; Specific Heat: 821; QUARTZ:
