Glass Name,Poisson's Ratio,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
SF2,,0.000008,,0.735000,Elastic Modulus: 54999998464.000000; Poissons Ratio: 0.227000; Shear Modulus: 22410000384.000000; Density: 3860.000000; Specific Heat: 498.000000
SF15,,0.000008,,0.770000,Elastic Modulus: 59999997952.000000; Poissons Ratio: 0.235000; Shear Modulus: 24290000896.000000; Density: 4060.000000; Specific Heat: 440.000000
SF14,,0.000007,,0.770000,Elastic Modulus: 65000001536.000000; Poissons Ratio: 0.231000; Shear Modulus: 26400000000.000000; Density: 4540.000000; Specific Heat: 440.000000
SF11,,0.000006,,0.737000,Elastic Modulus: 65999998976.000000; Poissons Ratio: 0.235000; Shear Modulus: 26720000000.000000; Density: 4740.000000; Specific Heat: 431.000000
SF10,,0.000008,,0.741000,Elastic Modulus: 64000000000.000000; Poissons Ratio: 0.232000; Shear Modulus: 25969999872.000000; Density: 4280.000000; Specific Heat: 465.000000
SF1,,0.000008,,0.740000,Elastic Modulus: 56000000000.000000; Poissons Ratio: 0.232000; Shear Modulus: 22730000384.000000; Density: 4460.000000; Specific Heat: 465.000000
P-SK57,,0.000007,,1.010000,Elastic Modulus: 92659998720.000000; Poissons Ratio: 0.249000; Shear Modulus: 37090000896.000000; Density: 3012.000000; Specific Heat: 760.000000
P-PK67,,0.000006,,0.790000,Elastic Modulus: 90199998464.000000; Poissons Ratio: 0.248000; Shear Modulus: 36139999232.000000; Density: 4236.000000; Specific Heat: 530.000000
P-PK53,,0.000013,,0.640000,Elastic Modulus: 59370000384.000000; Poissons Ratio: 0.271000; Shear Modulus: 23360000000.000000; Density: 2827.000000; Specific Heat: 770.000000
P-LASF47,,0.000006,,0.850000,Elastic Modulus: 119560003584.000000; Poissons Ratio: 0.298000; Shear Modulus: 46060000.000000; Density: 4538.000000; Specific Heat: 550.000000
N-ZK7,,0.000005,,1.042000,Elastic Modulus: 70000001024.000000; Poissons Ratio: 0.214000; Shear Modulus: 28829999104.000000; Density: 2490.000000; Specific Heat: 770.000000
N-SSK8,,0.000007,,0.840000,Elastic Modulus: 83999997952.000000; Poissons Ratio: 0.251000; Shear Modulus: 33570000896.000000; Density: 3268.000000; Specific Heat: 640.000000
N-SSK5,,0.000007,,0.810000,Elastic Modulus: 87999995904.000000; Poissons Ratio: 0.278000; Shear Modulus: 34430001152.000000; Density: 3710.000000; Specific Heat: 580.000000
N-SSK2,,0.000006,,0.810000,Elastic Modulus: 82000003072.000000; Poissons Ratio: 0.261000; Shear Modulus: 32509999104.000000; Density: 3525.000000; Specific Heat: 580.000000
N-SK5,0.256,5e-06,3300,0.99,Elastic Modulus: 8.399999795E+10; Shear Modulus: 3.344E+10; Specific Heat: 560
N-SK4,,0.000006,,0.830000,Elastic Modulus: 83999997952.000000; Poissons Ratio: 0.261000; Shear Modulus: 33309999104.000000; Density: 3535.000000; Specific Heat: 570.000000
N-SK2,0.263,0.000006000000000,3550,0.776,Elastic Modulus: 7.799999693E+010; Shear Modulus: 3.088E+010; Specific Heat: 595
N-SK16,,0.000006,,0.818000,Elastic Modulus: 89000001536.000000; Poissons Ratio: 0.264000; Shear Modulus: 35209998336.000000; Density: 3580.000000; Specific Heat: 578.000000
N-SK15,,0.000007,,0.770000,Elastic Modulus: 83999997952.000000; Poissons Ratio: 0.265000; Shear Modulus: 33199998976.000000; Density: 3620.000000; Specific Heat: 570.000000
N-SK14,,0.000006,,0.851000,Elastic Modulus: 86000001024.000000; Poissons Ratio: 0.261000; Shear Modulus: 34100000768.000000; Density: 3440.000000; Specific Heat: 636.000000
N-SK11,,0.000006,,1.030000,Elastic Modulus: 79000002560.000000; Poissons Ratio: 0.239000; Shear Modulus: 31879999488.000000; Density: 3080.000000; Specific Heat: 770.000000
N-SF8,,0.000009,,1.030000,Elastic Modulus: 87999995904.000000; Poissons Ratio: 0.245000; Shear Modulus: 35340001280.000000; Density: 2904.000000; Specific Heat: 770.000000
N-SF6HT,,0.000009,,0.960000,Elastic Modulus: 92999999488.000000; Poissons Ratio: 0.262000; Shear Modulus: 36849999872.000000; Density: 3369.000000; Specific Heat: 690.000000
N-SF66,,0.000006,,0.800000,Elastic Modulus: 94900002816.000000; Poissons Ratio: 0.259000; Shear Modulus: 37689999360.000000; Density: 3996.000000; Specific Heat: 540.000000
N-SF64,,0.000008,,0.980000,Elastic Modulus: 87999995904.000000; Poissons Ratio: 0.245000; Shear Modulus: 35340001280.000000; Density: 2989.000000; Specific Heat: 750.000000
N-SF6,,0.000010,,0.960000,Elastic Modulus: 92999999488.000000; Poissons Ratio: 0.262000; Shear Modulus: 36849999872.000000; Density: 3369.000000; Specific Heat: 690.000000
N-SF57HT,,0.000008,,0.990000,Elastic Modulus: 96000000000.000000; Poissons Ratio: 0.260000; Shear Modulus: 38100000768.000000; Density: 3533.000000; Specific Heat: 660.000000
N-SF57,,0.000008,,0.990000,Elastic Modulus: 96000000000.000000; Poissons Ratio: 0.260000; Shear Modulus: 38100000768.000000; Density: 3533.000000; Specific Heat: 660.000000
N-SF56,,0.000009,,0.940000,Elastic Modulus: 90999996416.000000; Poissons Ratio: 0.255000; Shear Modulus: 36250001408.000000; Density: 3280.000000; Specific Heat: 700.000000
N-SF5,,,2858,,Elastic Modulus in X: 8.699999846E+010; Poisson's Ration in XY: 0.237; Shear Modulus in XY: 3.51700009E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1; Specific Heat: 770
N-SF4,,0.000009,,0.950000,Elastic Modulus: 89999998976.000000; Poissons Ratio: 0.256000; Shear Modulus: 35830001664.000000; Density: 3145.000000; Specific Heat: 760.000000
N-SF15,,0.000008,,1.040000,Elastic Modulus: 89999998976.000000; Poissons Ratio: 0.243000; Shear Modulus: 36200001536.000000; Density: 2921.000000; Specific Heat: 760.000000
N-SF14,,0.000009,,1.000000,Elastic Modulus: 88300003328.000000; Poissons Ratio: 0.259000; Shear Modulus: 35070001152.000000; Density: 3118.000000; Specific Heat: 750.000000
N-SF11,,0.000009,,0.950000,Elastic Modulus: 92000002048.000000; Poissons Ratio: 0.257000; Shear Modulus: 36600000512.000000; Density: 3224.000000; Specific Heat: 710.000000
N-SF10,,0.000009,,0.960000,Elastic Modulus: 86999998464.000000; Poissons Ratio: 0.252000; Shear Modulus: 34739998720.000000; Density: 3050.000000; Specific Heat: 740.000000
N-SF1,,0.000009,,1.000000,Elastic Modulus: 89999998976.000000; Poissons Ratio: 0.250000; Shear Modulus: 35999997952.000000; Density: 3025.000000; Specific Heat: 750.000000
N-PSK53A,,0.000009,,0.640000,Elastic Modulus: 76130000896.000000; Poissons Ratio: 0.288000; Shear Modulus: 26549999616.000000; Density: 3568.000000; Specific Heat: 590.000000
N-PSK53,,0.000009,,0.990000,Elastic Modulus: 77999996928.000000; Poissons Ratio: 0.288000; Shear Modulus: 30279999488.000000; Density: 3600.000000; Specific Heat: 682.000000
N-PSK3,,0.000006,,0.990000,Elastic Modulus: 83999997952.000000; Poissons Ratio: 0.226000; Shear Modulus: 34260000768.000000; Density: 2910.000000; Specific Heat: 682.000000
N-PK52A,,0.000013,,0.730000,Elastic Modulus: 70999998464.000000; Poissons Ratio: 0.298000; Shear Modulus: 27349999616.000000; Density: 3747.000000; Specific Heat: 670.000000
N-PK51,,0.000012,,0.650000,Elastic Modulus: 73999998976.000000; Poissons Ratio: 0.295000; Shear Modulus: 28569999360.000000; Density: 3855.000000; Specific Heat: 620.000000
N-LASF9,,0.000008,,0.790000,Elastic Modulus: 108589998080.000000; Poissons Ratio: 0.288000; Shear Modulus: 42149998592.000000; Density: 4410.000000; Specific Heat: 530.000000
N-LASF45,,0.000009,,1.020000,Elastic Modulus: 115999997952.000000; Poissons Ratio: 0.281000; Shear Modulus: 45279997952.000000; Density: 3626.000000; Specific Heat: 660.000000
N-LASF44,,0.000006,,0.820000,Elastic Modulus: 124000002048.000000; Poissons Ratio: 0.293000; Shear Modulus: 47950000.000000; Density: 4440.000000; Specific Heat: 530.000000
N-LASF43,,0.000007,,0.810000,Elastic Modulus: 114000003072.000000; Poissons Ratio: 0.290000; Shear Modulus: 44189999104.000000; Density: 4260.000000; Specific Heat: 550.000000
N-LASF41,,0.000007,,0.790000,Elastic Modulus: 124000002048.000000; Poissons Ratio: 0.294000; Shear Modulus: 47909998592.000000; Density: 4845.000000; Specific Heat: 490.000000
N-LASF40,,0.000007,,0.810000,Elastic Modulus: 111000002560.000000; Poissons Ratio: 0.304000; Shear Modulus: 42560000000.000000; Density: 4430.000000; Specific Heat: 550.000000
N-LASF31A,,0.000008,,0.790000,Elastic Modulus: 125510000640.000000; Poissons Ratio: 0.301000; Shear Modulus: 48240001024.000000; Density: 5510.000000; Specific Heat: 440.000000
N-LAK9,,0.000006,,0.908000,Elastic Modulus: 109999996928.000000; Poissons Ratio: 0.285000; Shear Modulus: 42800001024.000000; Density: 3510.000000; Specific Heat: 649.000000
N-LAK8,,0.000006,,0.840000,Elastic Modulus: 115000000512.000000; Poissons Ratio: 0.289000; Shear Modulus: 44609998848.000000; Density: 3749.000000; Specific Heat: 620.000000
N-LAK7,0.277,7e-06,3840,0.74,Elastic Modulus: 8.999999898E+10; Shear Modulus: 3.524000154E+10; Specific Heat: 530
N-LAK34,,0.000007,,0.820000,Elastic Modulus: 117000003584.000000; Poissons Ratio: 0.290000; Shear Modulus: 45349998592.000000; Density: 4020.000000; Specific Heat: 520.000000
N-LAK33A,,0.000007,,0.810000,Elastic Modulus: 121000001536.000000; Poissons Ratio: 0.292000; Shear Modulus: 46829998080.000000; Density: 4216.000000; Specific Heat: 550.000000
N-LAK22,,0.000007,,0.880000,Elastic Modulus: 89999998976.000000; Poissons Ratio: 0.266000; Shear Modulus: 35549999104.000000; Density: 3768.000000; Specific Heat: 550.000000
N-LAK21,,0.000008,,0.880000,Elastic Modulus: 90999996416.000000; Poissons Ratio: 0.272000; Shear Modulus: 35769999360.000000; Density: 3740.000000; Specific Heat: 590.000000
N-LAK14,,0.000009,,0.860000,Elastic Modulus: 111000002560.000000; Poissons Ratio: 0.283000; Shear Modulus: 33770000384.000000; Density: 3630.000000; Specific Heat: 640.000000
N-LAK12,,0.000009,,0.860000,Elastic Modulus: 86999998464.000000; Poissons Ratio: 0.288000; Shear Modulus: 33770000384.000000; Density: 4100.000000; Specific Heat: 640.000000
N-LAK10,,0.000007,,0.860000,Elastic Modulus: 115999997952.000000; Poissons Ratio: 0.286000; Shear Modulus: 45099999232.000000; Density: 3689.000000; Specific Heat: 640.000000
N-LAF7,,0.000008,,0.830000,Elastic Modulus: 96000000000.000000; Poissons Ratio: 0.271000; Shear Modulus: 37769998336.000000; Density: 3730.000000; Specific Heat: 620.000000
N-LAF36,,0.000007,,0.790000,Elastic Modulus: 109999996928.000000; Poissons Ratio: 0.305000; Shear Modulus: 42149998592.000000; Density: 4431.000000; Specific Heat: 540.000000
N-LAF35,,0.000006,,0.800000,Elastic Modulus: 108999999488.000000; Poissons Ratio: 0.301000; Shear Modulus: 41890000896.000000; Density: 4115.000000; Specific Heat: 570.000000
N-LAF34,,0.000007,,0.560000,Elastic Modulus: 122999996416.000000; Poissons Ratio: 0.292000; Shear Modulus: 47600001024.000000; Density: 4240.000000; Specific Heat: 800.000000
N-LAF33,,0.000007,,0.800000,Elastic Modulus: 111000002560.000000; Poissons Ratio: 0.301000; Shear Modulus: 42659999744.000000; Density: 4360.000000; Specific Heat: 570.000000
N-LAF3,,0.000009,,0.830000,Elastic Modulus: 95000002560.000000; Poissons Ratio: 0.286000; Shear Modulus: 36940001280.000000; Density: 4140.000000; Specific Heat: 550.000000
N-LAF21,,0.000007,,0.830000,Elastic Modulus: 124000002048.000000; Poissons Ratio: 0.295000; Shear Modulus: 47879999488.000000; Density: 4281.000000; Specific Heat: 550.000000
N-LAF2,,0.000009,,0.670000,Elastic Modulus: 93999996928.000000; Poissons Ratio: 0.288000; Shear Modulus: 36489998336.000000; Density: 4295.000000; Specific Heat: 510.000000
N-KZFS8,,0.000009,,1.050000,Elastic Modulus: 102719995904.000000; Poissons Ratio: 0.248000; Shear Modulus: 41150001152.000000; Density: 3204.000000; Specific Heat: 760.000000
N-KZFS4,0.241,0.000007300000000,3000,0.84,Elastic Modulus: 7.799999693E+10; Shear Modulus: 3.143000064E+10; Specific Heat: 760; Tensile Strength: 7000000; Yield Strength: 7000000
N-KZFS2,,0.000005,,0.810000,Elastic Modulus: 65999998976.000000; Poissons Ratio: 0.266000; Shear Modulus: 26069999616.000000; Density: 2552.000000; Specific Heat: 830.000000
N-KZFS11,,0.000008,,0.810000,Elastic Modulus: 79000002560.000000; Poissons Ratio: 0.251000; Shear Modulus: 31569999872.000000; Density: 3196.000000; Specific Heat: 690.000000
N-KF9,,0.000011,,1.040000,Elastic Modulus: 65999998976.000000; Poissons Ratio: 0.225000; Shear Modulus: 26940000256.000000; Density: 2499.000000; Specific Heat: 860.000000
N-K5,0.224,0.000008200000000,2590,0.95,Elastic Modulus: 7.099999846E+010; Shear Modulus: 2.899999949E+010; Specific Heat: 783
N-FK51A,,0.000015,,0.760000,Elastic Modulus: 80999997440.000000; Poissons Ratio: 0.293000; Shear Modulus: 31320000512.000000; Density: 3675.000000; Specific Heat: 690.000000
N-FK5,,0.000010,,0.925000,Elastic Modulus: 62000001024.000000; Poissons Ratio: 0.232000; Shear Modulus: 25159999488.000000; Density: 2450.000000; Specific Heat: 808.000000
N-F2,,0.000009,,1.050000,Elastic Modulus: 82000003072.000000; Poissons Ratio: 0.228000; Shear Modulus: 33390000128.000000; Density: 2651.000000; Specific Heat: 810.000000
N-BK7,0.206,8e-06,2510,1.114,Elastic Modulus: 8.2E+10; Shear Modulus: 3.4E+10; Specific Heat: 858
N-BK10,,0.000007,,1.320000,Elastic Modulus: 70999998464.000000; Poissons Ratio: 0.203000; Shear Modulus: 29510000640.000000; Density: 2390.000000; Specific Heat: 810.000000
N-BASF64,,0.000009,,0.940000,Elastic Modulus: 105000001536.000000; Poissons Ratio: 0.264000; Shear Modulus: 41529999360.000000; Density: 3200.000000; Specific Heat: 660.000000
N-BASF2,,0.000008,,0.940000,Elastic Modulus: 83999997952.000000; Poissons Ratio: 0.247000; Shear Modulus: 33679998976.000000; Density: 3151.000000; Specific Heat: 660.000000
N-BALF5,,0.000008,,1.050000,Elastic Modulus: 80999997440.000000; Poissons Ratio: 0.214000; Shear Modulus: 33359998976.000000; Density: 2614.000000; Specific Heat: 810.000000
N-BALF4,,0.000007,,0.850000,Elastic Modulus: 76999999488.000000; Poissons Ratio: 0.245000; Shear Modulus: 30919999488.000000; Density: 3111.000000; Specific Heat: 690.000000
N-BAK4,0.24,0.000007000000000,3046,0.88,Elastic Modulus: 7.699999949E+010; Shear Modulus: 3.105000038E+010; Specific Heat: 680
N-BAK2,,0.000009,,0.920000,Elastic Modulus: 70999998464.000000; Poissons Ratio: 0.233000; Shear Modulus: 28789999616.000000; Density: 2860.000000; Specific Heat: 690.000000
N-BAK1,,0.000009,,0.795000,Elastic Modulus: 73000001536.000000; Poissons Ratio: 0.252000; Shear Modulus: 29149999104.000000; Density: 3190.000000; Specific Heat: 687.000000
N-BAF52,,0.000008,,0.960000,Elastic Modulus: 86000001024.000000; Poissons Ratio: 0.237000; Shear Modulus: 34759999488.000000; Density: 3045.000000; Specific Heat: 680.000000
N-BAF51,,0.000009,,0.670000,Elastic Modulus: 90999996416.000000; Poissons Ratio: 0.262000; Shear Modulus: 36050000.000000; Density: 3333.000000; Specific Heat: 840.000000
N-BAF4,,0.000008,,1.020000,Elastic Modulus: 85000003584.000000; Poissons Ratio: 0.231000; Shear Modulus: 34520000.000000; Density: 2889.000000; Specific Heat: 740.000000
N-BAF3,,0.000008,,1.040000,Elastic Modulus: 82000003072.000000; Poissons Ratio: 0.226000; Shear Modulus: 33440000000.000000; Density: 2792.000000; Specific Heat: 760.000000
N-BAF10,,0.000007,,0.780000,Elastic Modulus: 89000001536.000000; Poissons Ratio: 0.271000; Shear Modulus: 35009998848.000000; Density: 3745.000000; Specific Heat: 560.000000
LLF1,0.208,0.000008100000000,2940,0.866,Elastic Modulus: 5.999999795E+010; Shear Modulus: 2.48299991E+010; Specific Heat: 650
LF5,,0.000009,,0.866000,Elastic Modulus: 59000000512.000000; Poissons Ratio: 0.223000; Shear Modulus: 24120000512.000000; Density: 3220.000000; Specific Heat: 657.000000
LAFN7,,0.000005,,0.770000,Elastic Modulus: 80000000000.000000; Poissons Ratio: 0.280000; Shear Modulus: 31249999872.000000; Density: 4380.000000; Specific Heat: 636.000000
KZFSN5,,0.000006,,0.766000,Elastic Modulus: 65000001536.000000; Poissons Ratio: 0.275000; Shear Modulus: 25489999872.000000; Density: 3460.000000; Specific Heat: 636.000000
KZFSN4,,0.000005,,0.766000,Elastic Modulus: 59999997952.000000; Poissons Ratio: 0.275000; Shear Modulus: 23530000384.000000; Density: 3200.000000; Specific Heat: 636.000000
KZFS12,,0.000005,,0.710000,Elastic Modulus: 65999998976.000000; Poissons Ratio: 0.279000; Shear Modulus: 25799999488.000000; Density: 3836.000000; Specific Heat: 540.000000
K7,,0.000010,,1.120000,Elastic Modulus: 69000003584.000000; Poissons Ratio: 0.214000; Shear Modulus: 28419999744.000000; Density: 2530.000000; Specific Heat: 770.000000
K10,,0.000007,,1.120000,Elastic Modulus: 65000001536.000000; Poissons Ratio: 0.190000; Shear Modulus: 27310000128.000000; Density: 2520.000000; Specific Heat: 770.000000
F5,,0.000009,,0.768000,Elastic Modulus: 57999998976.000000; Poissons Ratio: 0.220000; Shear Modulus: 23769999360.000000; Density: 3470.000000; Specific Heat: 553.000000
F4,,0.000009,,0.768000,Elastic Modulus: 56000000000.000000; Poissons Ratio: 0.222000; Shear Modulus: 22909999104.000000; Density: 3580.000000; Specific Heat: 553.000000
SF57HT,,,5510,,Elastic Modulus in X: 5.400000102E+010; Poisson's Ration in XY: 0.248; Shear Modulus in XY: 2.16299991E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.62; Specific Heat: 360
F2,,0.000009,,0.780000,Elastic Modulus: 57000001536.000000; Poissons Ratio: 0.220000; Shear Modulus: 23360000000.000000; Density: 3599.000000; Specific Heat: 557.000000
BK7-G18,,,2510,,Elastic Modulus in X: 8.2E+010; Poisson's Ration in XY: 0.206; Shear Modulus in XY: 3.4E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.114; Specific Heat: 858
P-SF67,0,6.2e-06,4240,,Specific Heat: 530
N-SF2,0.231,0.000006700000000,2720,1.14,Elastic Modulus: 8.6E+10; Shear Modulus: 3.5E+10; Specific Heat: 790
B270,0.219,0.000009400000000,2550,,Elastic Modulus: 7.15E+010; Shear Modulus: 2.93E+010
N-KZFS5,0.243,6.4e-006,3041,0.95,Elastic Modulus: 2000000000; Specific Heat: 730
Titanium Grade 12,,0.000005,,24.900000,Elastic Modulus: 102731903363.667450; Poissons Ratio: 0.330000; Shear Modulus: 41023813759.316872; Density: 4511.825740; Specific Heat: 460.000000; Tensile Strength: 619838799.489510; Yield Strength: 479875199.604782
T.B.D,,0.000044,,163.300000,Elastic Modulus: 399895999670.651860; Poissons Ratio: 0.280000; Shear Modulus: 155821544699.254000; Density: 19292.899025; Specific Heat: 134.000000; Tensile Strength: 979055723.331596; Yield Strength: 751528689.036225
CDA BRASS ALLOY 360,,0.000018,,110.000000,Elastic Modulus: 99999997952.000000; Poissons Ratio: 0.330000; Shear Modulus: 36999999488.000000; Density: 8500.000000; Specific Heat: 390.000000; Tensile Strength: 478412992.000000; Yield Strength: 239688992.000000
CDA COPPER ALLOY 145,,,8900,,Elastic Modulus in X: 1.099999969E+011; Poisson's Ration in XY: 0.37; Shear Modulus in XY: 4E+010; Thermal Expansion Coefficient in X: 2.4e-005; Thermal Conductivity in X: 390; Specific Heat: 390; Tensile Strength in X: 394380000; Yield Strength: 258646000
TUNGSTEN,,0.000044,,163.300000,Elastic Modulus: 399895999670.651860; Poissons Ratio: 0.280000; Shear Modulus: 155821544699.254000; Density: 19292.899025; Specific Heat: 134.000000; Tensile Strength: 979055723.331596; Yield Strength: 751528689.036225
TITANIUM GRADE 5 (Ti-6Al-4V),0.33,0.000008600000000,4428.786003,6.7,Elastic Modulus: 1.137634954E+011; Shear Modulus: 4.398855155E+010; Specific Heat: 526.3; Tensile Strength: 903213205.8; Compressive Strength: 861844662; Yield Strength: 827370875.5
AlBeMet,,,2071.011055,,Elastic Modulus in X: 1.930532043E+011; Poisson's Ration in XY: 0.17; Shear Modulus in XY: 8.204761183E+010; Thermal Expansion Coefficient in X: 13.91; Thermal Conductivity in X: 210; Specific Heat: 1560; Tensile Strength in X: 446780272.8; Yield Strength: 321985165.7
COPPER ALLOY UNS C10100,,,8900,,Elastic Modulus in X: 1.099999969E+011; Poisson's Ration in XY: 0.37; Shear Modulus in XY: 4E+010; Thermal Expansion Coefficient in X: 0.000017000000000; Thermal Conductivity in X: 390; Specific Heat: 390; Tensile Strength in X: 394380000; Yield Strength: 258646000
"COPPER ALLOY, OXYGEN-FREE, UNS C10200, H04 TEMPER",0.31,0.000017000000000,8940,391,Elastic Modulus: 1.15E+011; Shear Modulus: 4.4E+010; Specific Heat: 385; Tensile Strength: 310000000; Yield Strength: 275000000
CARPENTER KOVAR ALLOY,0.317,5.86,8360,17.3,Elastic Modulus: 138000000; Shear Modulus: 51700000; Specific Heat: 439; Tensile Strength: 517000000; Yield Strength: 345000000
LEAD,0.42,2.916e-005,11348.76413,33,Elastic Modulus: 1.399635731E+010; Shear Modulus: 4902172438; Specific Heat: 128.7; Tensile Strength: 17995316.54
AIR,,0.000009,,1.007000,Elastic Modulus: 62300000256.000000; Poissons Ratio: 0.227000; Shear Modulus: 25489999872.000000; Density: 1.287116; Specific Heat: 595.000000
NOTHING,,,0.000000000100000,,
1145-H18 ALUMINUM,0.33,2.36e-005,2700,227,Elastic Modulus: 6.9E+010; Shear Modulus: 2.6E+010; Specific Heat: 904; Tensile Strength: 145000000; Yield Strength: 115000000
2011 ALUMINUM,0.33,0.000023100000000,2820,152,Elastic Modulus: 7E+010; Shear Modulus: 2.6E+010; Specific Heat: 864; Tensile Strength: 275000000; Yield Strength: 125000000
2011-T3 ALUMINUM,0.33,0.000022900000000,2830,151,Elastic Modulus: 7.03E+010; Shear Modulus: 2.6E+010; Specific Heat: 880; Tensile Strength: 379000000; Yield Strength: 296000000
2024-T351 ALUMINUM,,,2767.991252,,Elastic Modulus in X: 7.308444132E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.799271998E+010; Thermal Expansion Coefficient in X: 2.322e-005; Thermal Conductivity in X: 121; Specific Heat: 875.0412; Tensile Strength in X: 468843585.8; Yield Strength: 324053654.9
2024-T4 ALUMINUM,,,2780,,Elastic Modulus in X: 7.24E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.8E+010; Thermal Expansion Coefficient in X: 2.32e-005; Thermal Conductivity in X: 120; Specific Heat: 875; Tensile Strength in X: 470000000; Yield Strength: 325000000
2024-T6 ALUMINUM,,,2767.991252,,Elastic Modulus in X: 7.239496546E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.702745377E+010; Thermal Expansion Coefficient in X: 2.322e-005; Thermal Conductivity in X: 151; Specific Heat: 875.0412; Tensile Strength in X: 426785558.3; Yield Strength: 344737930.8
3003 ALUMINUM,,0.000024,,170.000000,Elastic Modulus: 69000003584.000000; Poissons Ratio: 0.330000; Shear Modulus: 25999998976.000000; Density: 2700.000000; Specific Heat: 1300.000000; Tensile Strength: 124084000.000000; Yield Strength: 55148500.000000
6061-T6 ALUMINUM,0.33,0.000023400000000,2700.001083,170,Elastic Modulus: 6.899998632E+10; Shear Modulus: 2.599999684E+10; Specific Heat: 896; Tensile Strength: 310000000; Yield Strength: 275000000
6061-T651 ALUMINUM,0.33,0.000023600000000,2700,170,Elastic Modulus: 6.900000358E+010; Shear Modulus: 2.599999898E+010; Specific Heat: 1300; Tensile Strength: 124084000; Yield Strength: 55148500
6061-T6511 ALUMINUM,0.33,2.36e-05,2700.001083,170,Elastic Modulus: 6.899998632E+10; Shear Modulus: 2.599999684E+10; Specific Heat: 1300; Tensile Strength: 310000000; Yield Strength: 275000000
6063 ALUMINUM,,0.000024,,170.000000,Elastic Modulus: 69000003584.000000; Poissons Ratio: 0.330000; Shear Modulus: 25999998976.000000; Density: 2700.000000; Specific Heat: 1300.000000; Tensile Strength: 124084000.000000; Yield Strength: 55148500.000000
7075-T6 ALUMINUM,,,2810,,Elastic Modulus in X: 7.17E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 2.599999898E+010; Thermal Expansion Coefficient in X: 2.4e-005; Thermal Conductivity in X: 170; Specific Heat: 1300; Tensile Strength in X: 524000000; Yield Strength: 462000000
7075-T73 ALUMINUM,0.33,0.000021600000000,2810,155,Elastic Modulus: 7.2E+010; Shear Modulus: 2.69E+010; Specific Heat: 960; Tensile Strength: 505000000; Yield Strength: 435000000
ALPASE K100-S ALUMINUM,0.33,2.376e-005,2657.271602,140.189535,Elastic Modulus: 71016000.15; Tensile Strength: 282685049.1; Yield Strength: 124105631.3
MIC6 ALUMINUM,,0.000013000000000,,142.000000,Elastic Modulus: 71016013734.615753; Poissons Ratio: 0.330000; Shear Modulus: 27000012631.556309; Density: 2700.001083; Specific Heat: 900.000000; Tensile Strength: 165474206.760270; Yield Strength: 103421379.225169
7075-T7351 ALUMINUM BAR,0.33,2.16e-005,2800,155,Elastic Modulus: 7.1E+010; Shear Modulus: 2.69E+010; Specific Heat: 960; Tensile Strength: 434000000; Compressive Strength: 7.24E+010; Yield Strength: 435000000
ALUMINUM,0.33,,2700.001083,,Elastic Modulus: 6.899998632E+010
15-5 PH STAINLESS STEEL,,10.8,7800,17.9,Tensile Strength: 1441004275
17-4 PH STAINLESS STEEL,0.3,11.9,7750.375488,24.700001,Elastic Modulus: 1.999479931E+011; Shear Modulus: 7.722129818E+010; Specific Heat: 515; Tensile Strength: 999739968; Yield Strength: 710160128
17-4 PH 1150 SS,0.3,11.9,7750.375488,24.700001,Elastic Modulus: 1.999479931E+011; Shear Modulus: 7.722129818E+010; Specific Heat: 515; Tensile Strength: 999739968; Yield Strength: 710160128
17-7 PH STAINLESS STEEL,,0.000006,,24.700001,Elastic Modulus: 199947993088.000000; Poissons Ratio: 0.300000; Shear Modulus: 77221298176.000000; Density: 7750.375488; Specific Heat: 515.000000; Tensile Strength: 999739968.000000; Yield Strength: 710160128.000000
18-8 STAINLESS STEEL,,0.000006,,24.700001,Elastic Modulus: 199947993088.000000; Poissons Ratio: 0.300000; Shear Modulus: 77221298176.000000; Density: 7750.375488; Specific Heat: 515.000000; Tensile Strength: 999739968.000000; Yield Strength: 710160128.000000
300 SERIES STAINLESS STEEL,,,8000,,Elastic Modulus in X: 2000000000; Poisson's Ration in XY: 0.394; Shear Modulus in XY: 318900000; Thermal Conductivity in X: 0.2256; Specific Heat: 1386; Tensile Strength in X: 30000000
302 STAINLESS STEEL,,,7999.494629,,Elastic Modulus in X: 7.101601382E+010; Poisson's Ration in XY: 0.33; Shear Modulus in XY: 7.722129818E+010; Thermal Expansion Coefficient in X: 9.6e-005; Thermal Conductivity in X: 142; Specific Heat: 900; Tensile Strength in X: 619838784; Yield Strength: 239937600; 300 SERIES STAINLESS STEEL:
303 STAINLESS STEEL,,0.000096,,142.000000,Elastic Modulus: 71016013824.000000; Poissons Ratio: 0.330000; Shear Modulus: 77221296488.125870; Density: 7999.494718; Specific Heat: 900.000000; Tensile Strength: 619838799.489510; Yield Strength: 239937599.802391
